,playerID,yearID,POS,G,InnOuts,PO,A,E,DP,birthYear,age,Range Factor,Fielding %,RF Yearly Avg
131590,escobyu01,2014,SS,136,3550.0,168,267,16.0,50,1982.0,32.0,3.198529411764706,96.45232815964523,4.091424925255076
18283,bridwal01,1906,SS,119,,322,390,54.0,43,1884.0,22.0,5.983193277310924,92.95039164490862,4.568835274523994
38329,sladego01,1934,SS,97,,200,315,26.0,60,1904.0,30.0,5.309278350515464,95.19408502772643,4.421732537933992
65840,woodwwo01,1969,SS,93,2075.0,147,248,14.0,36,1942.0,27.0,4.247311827956989,96.57701711491443,4.150581347281431
131941,jeterde01,2014,SS,130,3415.0,144,256,11.0,48,1974.0,40.0,3.076923076923077,97.32360097323601,4.091424925255076
65830,winebo01,1969,SS,118,2909.0,208,367,31.0,96,1938.0,31.0,4.872881355932203,94.88448844884488,4.150581347281431
65824,willsma01,1969,SS,104,2751.0,168,357,17.0,61,1932.0,37.0,5.048076923076923,96.86346863468634,4.150581347281431
65876,alleyge01,1970,SS,108,2763.0,202,381,15.0,84,1940.0,30.0,5.398148148148148,97.49163879598662,4.03187665117491
41623,vaughar01,1939,SS,152,,330,531,34.0,103,1912.0,27.0,5.6644736842105265,96.20111731843576,4.371117759702814
41612,travice01,1939,SS,118,,194,359,24.0,74,1913.0,26.0,4.686440677966102,95.84055459272098,4.371117759702814
18197,wallabo01,1905,SS,156,,385,506,62.0,40,1873.0,32.0,5.711538461538462,93.49422875131165,4.181251843194992
18194,wagneho01,1905,SS,145,,353,517,60.0,64,1874.0,31.0,6.0,93.54838709677419,4.181251843194992
18182,turnete01,1905,SS,155,,285,436,41.0,49,1881.0,24.0,4.651612903225806,94.61942257217848,4.181251843194992
18179,tinkejo01,1905,SS,149,,345,527,56.0,67,1880.0,25.0,5.852348993288591,93.96551724137932,4.181251843194992
38346,stranal01,1934,SS,125,,260,392,31.0,84,1906.0,28.0,5.216,95.46120058565154,4.421732537933992
18235,altizda01,1906,SS,113,,257,323,43.0,31,1876.0,30.0,5.132743362831858,93.09791332263242,4.568835274523994
38289,rogelbi01,1934,SS,154,,259,518,31.0,99,1904.0,30.0,5.045454545454546,96.16336633663366,4.421732537933992
131839,hechaad01,2014,SS,146,3884.0,200,438,14.0,87,1989.0,25.0,4.36986301369863,97.85276073619632,4.091424925255076
65891,aparilu01,1970,SS,146,3588.0,251,483,18.0,99,1934.0,36.0,5.027397260273973,97.6063829787234,4.03187665117491
18399,elberki01,1906,SS,98,,200,317,42.0,18,1875.0,31.0,5.275510204081633,92.4865831842576,4.568835274523994
65979,brinked01,1970,SS,157,4200.0,301,569,23.0,103,1941.0,29.0,5.54140127388535,97.42441209406495,4.03187665117491
18379,doolami01,1906,SS,154,,395,480,66.0,51,1880.0,26.0,5.681818181818182,92.98618490967057,4.568835274523994
58897,causewa01,1963,SS,135,3567.0,266,402,15.0,81,1936.0,27.0,4.948148148148148,97.80380673499268,4.08598366667157
65960,bowala01,1970,SS,143,3732.0,202,418,13.0,69,1945.0,25.0,4.335664335664336,97.94628751974723,4.03187665117491
18350,davisge01,1906,SS,129,,263,475,42.0,44,1870.0,36.0,5.72093023255814,94.61538461538461,4.568835274523994
18348,dahlebi01,1906,SS,143,,287,454,49.0,36,1870.0,36.0,5.181818181818182,93.79746835443038,4.568835274523994
18346,crossmo01,1906,SS,134,,305,411,47.0,48,1869.0,37.0,5.343283582089552,93.84010484927916,4.568835274523994
96206,listapa01,1993,SS,95,2373.0,127,267,10.0,53,1967.0,26.0,4.147368421052631,97.52475247524752,4.175549930963726
18333,corcoto01,1906,SS,117,,263,379,40.0,51,1869.0,37.0,5.487179487179487,94.13489736070382,4.568835274523994
90140,griffal01,1989,SS,131,3385.0,208,333,14.0,69,1957.0,32.0,4.129770992366412,97.47747747747748,4.151473343429618
96167,larkiba01,1993,SS,99,2537.0,159,281,16.0,56,1964.0,29.0,4.444444444444445,96.49122807017544,4.175549930963726
65928,belanma01,1970,SS,143,3450.0,212,412,19.0,78,1944.0,26.0,4.363636363636363,97.04510108864697,4.03187665117491
90158,guilloz01,1989,SS,155,4031.0,272,512,22.0,106,1964.0,25.0,5.058064516129032,97.27047146401985,4.151473343429618
131819,hardyjj01,2014,SS,141,3771.0,187,394,13.0,99,1982.0,32.0,4.120567375886525,97.81144781144782,4.091424925255076
131587,escobed01,2014,SS,98,2315.0,130,224,5.0,49,1989.0,25.0,3.6122448979591835,98.60724233983287,4.091424925255076
38119,jurgebi01,1934,SS,98,,205,334,19.0,63,1908.0,26.0,5.5,96.59498207885304,4.421732537933992
58665,versazo01,1962,SS,160,4201.0,335,501,26.0,127,1939.0,23.0,5.225,96.98375870069606,4.117235924948832
66307,harrebu01,1970,SS,156,4116.0,305,401,21.0,84,1944.0,26.0,4.5256410256410255,97.11141678129297,4.03187665117491
19135,hollyed01,1907,SS,147,,317,474,62.0,45,1879.0,28.0,5.380952380952381,92.73153575615474,4.503463257183477
96957,abbotku01,1994,SS,99,2476.0,162,260,15.0,61,1969.0,25.0,4.262626262626263,96.5675057208238,4.058453529096009
37827,applilu01,1934,SS,110,,243,341,34.0,55,1907.0,27.0,5.3090909090909095,94.49838187702265,4.421732537933992
